Id,SalePrice
2658,148722.5296517227
2718,133131.9732904692
2414,218313.9399691636
1989,117548.78838933911
625,164349.09966394553
333,84289.407346346
1327,87626.09300370552
858,145980.61259071433
95,206055.07313675893
1568,178001.11431953256
2482,167308.6149958496
1364,141958.35295468266
2584,168013.1660667247
818,198844.71420635335
2673,159402.0432213515
2089,125146.46901994362
1297,152078.89545051154
790,126180.90986625312
2616,166980.74956649408
720,225817.37336115626
222,130265.49924277014
557,130777.65880072766
1148,169002.9926638751
2766,192607.39574735743
534,202142.37396885458
1452,141717.33974858565
630,110619.25839698545
2648,118520.47450720318
125,162932.05740872707
1904,52983.71056563388
1670,100147.31613092104
756,80185.78471631839
717,183815.40492282476
1032,147568.05075926633
852,209615.57922165142
1731,210418.9902615179
2639,81561.15215137052
2071,101877.25818493028
1267,133203.6992466663
1851,213759.73431298957
567,177023.0900258341
2439,206390.54156453972
1898,130159.08274402551
647,144675.66847569915
2256,225168.99877001878
979,83566.71579618458
1444,209785.62429227764
2485,138659.23329383373
157,127082.07670412256
88,128755.33706792304
2003,119409.16243583304
186,208264.26851115734
1425,235843.84301332262
2695,112043.75495336461
738,117873.77176547874
395,161170.8763200984
1353,184018.9275342314
1878,134440.57470086412
390,209522.81014473015
1456,207894.88505460045
1103,319793.95843173005
1387,139686.805893894
2070,141447.98698252265
1199,214188.92785655663
2479,167264.07938211417
501,317921.43830876274
2362,101736.4278028446
1718,236825.7989169276
2188,55620.65529945551
1483,166056.88864865853
2557,87604.9132003561
437,335927.3088499038
2224,226006.6490076756
1628,205520.07275061982
397,132430.3990445328
587,193416.2767474765
971,171619.53948523535
2611,164369.34312473435
1887,132084.2358650437
2399,348685.57383268414
2148,204722.73474898998
304,145885.58434771665
1997,107589.00568123223
2817,94658.98107830154
1431,175086.68043462065
427,314471.2647598175
263,142324.6435722507
598,190640.8982733272
2895,280620.7225564523
687,161442.1386946688
1822,129277.618356275
2191,100711.77585416325
179,144183.94574286585
1009,295974.46914555813
2010,118126.81502533917
1991,150182.0831745977
1411,126180.90986625312
1721,298045.7206757567
1144,169889.65624642608
593,234072.8910370069
575,262265.4402921438
1249,173964.74353864221
1604,141661.24186383825
1064,374332.8502997157
1923,169385.6727082077
1988,108155.82258331962
2325,169332.02625084177
114,195371.79505967797
2700,166030.45741206154
217,105466.42378279073
343,165766.141919164
386,244036.6902624278
2005,94274.04552675897
2908,162443.17870965638
1814,215484.8389747758
2446,428379.52974427544
208,115747.12037913277
1679,78471.35317462962
822,268736.2540966783
6,173973.85180972164
1781,313564.52832899475
2397,311153.3615365274
2340,332925.69411707524
1618,181850.5824026574
2843,88591.01849607674
1061,343266.39937951294
2786,146535.28341632843
1935,133266.45397511168
1341,116902.08564761464
521,284287.599342525
2136,144713.37194533326
996,172079.0638798867
227,136300.0749039219
135,168154.87029224652
1167,173640.40772801975
294,225489.2524051378
1776,219000.766311219
540,209160.78182434372
1717,236821.75022476984
2303,151123.0354365398
116,176187.06727009895
127,134873.7847617452
1371,148274.3127207992
1014,216975.0112173652
